date,close
1-Aug-1992,9787
1-Sep-1992,9781
1-Oct-1992,9398
1-Nov-1992,9565
1-Dec-1992,9557
1-Jan-1993,9325
1-Feb-1993,9183
1-Mar-1993,9056
1-Apr-1993,9110
1-May-1993,9149
1-Jun-1993,9121
1-Jul-1993,8930
1-Aug-1993,8763
1-Sep-1993,8714
1-Oct-1993,8750
1-Nov-1993,8542
1-Dec-1993,8477
1-Jan-1994,8630
1-Feb-1994,8583
1-Mar-1994,8470
1-Apr-1994,8331
1-May-1994,7915
1-Jun-1994,7927
1-Jul-1994,7946
1-Aug-1994,7933
1-Sep-1994,7734
1-Oct-1994,7632
1-Nov-1994,7375
1-Dec-1994,7230
1-Jan-1995,7375
1-Feb-1995,7187
1-Mar-1995,7153
1-Apr-1995,7645
1-May-1995,7430
1-Jun-1995,7427
1-Jul-1995,7527
1-Aug-1995,7484
1-Sep-1995,7478
1-Oct-1995,7328
1-Nov-1995,7426
1-Dec-1995,7423
1-Jan-1996,7491
1-Feb-1996,7313
1-Mar-1996,7318
1-Apr-1996,7415
1-May-1996,7423
1-Jun-1996,7095
1-Jul-1996,7337
1-Aug-1996,6882
1-Sep-1996,6979
1-Oct-1996,7031
1-Nov-1996,7236
1-Dec-1996,7253
1-Jan-1997,7158
1-Feb-1997,7102
1-Mar-1997,7000
1-Apr-1997,6873
1-May-1997,6655
1-Jun-1997,6799
1-Jul-1997,6655
1-Aug-1997,6608
1-Sep-1997,6656
1-Oct-1997,6454
1-Nov-1997,6308
1-Dec-1997,6476
1-Jan-1998,6368
1-Feb-1998,6306
1-Mar-1998,6422
1-Apr-1998,5941
1-May-1998,6047
1-Jun-1998,6212
1-Jul-1998,6259
1-Aug-1998,6179
1-Sep-1998,6300
1-Oct-1998,6280
1-Nov-1998,6100
1-Dec-1998,6032
1-Jan-1999,5976
1-Feb-1999,6111
1-Mar-1999,5783
1-Apr-1999,6004
1-May-1999,5796
1-Jun-1999,5951
1-Jul-1999,6025
1-Aug-1999,5838
1-Sep-1999,5915
1-Oct-1999,5778
1-Nov-1999,5716
1-Dec-1999,5653
1-Jan-2000,5708
1-Feb-2000,5858
1-Mar-2000,5733
1-Apr-2000,5481
1-May-2000,5758
1-Jun-2000,5651
1-Jul-2000,5747
1-Aug-2000,5853
1-Sep-2000,5625
1-Oct-2000,5534
1-Nov-2000,5639
1-Dec-2000,5634
1-Jan-2001,6023
1-Feb-2001,6089
1-Mar-2001,6141
1-Apr-2001,6271
1-May-2001,6226
1-Jun-2001,6484
1-Jul-2001,6583
1-Aug-2001,7042
1-Sep-2001,7142
1-Oct-2001,7694
1-Nov-2001,8003
1-Dec-2001,8258
1-Jan-2002,8182
1-Feb-2002,8215
1-Mar-2002,8304
1-Apr-2002,8599
1-May-2002,8399
1-Jun-2002,8393
1-Jul-2002,8390
1-Aug-2002,8304
1-Sep-2002,8251
1-Oct-2002,8307
1-Nov-2002,8520
1-Dec-2002,8640
1-Jan-2003,8520
1-Feb-2003,8618
1-Mar-2003,8588
1-Apr-2003,8842
1-May-2003,8957
1-Jun-2003,9266
1-Jul-2003,9011
1-Aug-2003,8896
1-Sep-2003,8921
1-Oct-2003,8732
1-Nov-2003,8576
1-Dec-2003,8317
1-Jan-2004,8370
1-Feb-2004,8167
1-Mar-2004,8491
1-Apr-2004,8170
1-May-2004,8212
1-Jun-2004,8286
1-Jul-2004,8136
1-Aug-2004,7990
1-Sep-2004,7927
1-Oct-2004,8061
1-Nov-2004,7932
1-Dec-2004,7934
1-Jan-2005,7784
1-Feb-2005,7980
1-Mar-2005,7737
1-Apr-2005,7672
1-May-2005,7651
1-Jun-2005,7524
1-Jul-2005,7406
1-Aug-2005,7345
1-Sep-2005,7553
1-Oct-2005,7453
1-Nov-2005,7566
1-Dec-2005,7279
1-Jan-2006,7064
1-Feb-2006,7184
1-Mar-2006,7072
1-Apr-2006,7120
1-May-2006,6980
1-Jun-2006,7001
1-Jul-2006,7175
1-Aug-2006,7091
1-Sep-2006,6847
1-Oct-2006,6727
1-Nov-2006,6872
1-Dec-2006,6762
1-Jan-2007,7116
1-Feb-2007,6927
1-Mar-2007,6731
1-Apr-2007,6850
1-May-2007,6766
1-Jun-2007,6979
1-Jul-2007,7149
1-Aug-2007,7067
1-Sep-2007,7170
1-Oct-2007,7237
1-Nov-2007,7240
1-Dec-2007,7645
